ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Feedback,ReviewDateKey
312,42,No,Travel_Rarely,916,Research & Development,17,College,Life Sciences,1,4,Female,82,4,2,Research Scientist,1,Single,6545,23016,3,Yes,13,3,3,80,0,10,1,3,3,2,0,2,work with brilliant motivated caring people  excellent perks free food massages flexible work schedule wifi supported commute  extremely fast paced room for creative problem solving new challenges,20210331
313,29,No,Travel_Rarely,1247,Sales,20,College,Marketing,1,4,Male,45,3,2,Sales Executive,4,Divorced,6931,10732,2,No,14,3,4,80,1,10,2,3,3,2,0,2,Everyone is friendly and the company is moving in an innovative direction,20210322
314,25,No,Travel_Rarely,685,Research & Development,1,Bachelor,Life Sciences,1,1,Female,62,3,2,Manufacturing Director,3,Married,4898,7505,0,No,12,3,4,80,2,5,3,3,4,2,1,2,Career development is always top of mind for managers at Google I love that we can work on a variety of projects,20210312
315,42,No,Travel_Rarely,269,Research & Development,2,Bachelor,Medical,1,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Yes,11,3,3,80,1,10,4,3,9,6,7,8,Great compensation amazing perks and incredibly passionate coworkers  While most companies will claim that people are their number on priority Google is the only company Ive worked at that actually delivers on this  My wife actually almost cried when she learned about the generous paternity leave policy and the death benefit provided by the company if anything should ever happen to me,20210307
316,40,No,Travel_Rarely,1416,Research & Development,2,College,Medical,1,1,Male,49,3,5,Research Director,3,Divorced,19436,5949,0,No,19,3,4,80,1,22,5,3,21,7,3,9, Great perks  Stable work environment  Fun work environment,20210520
317,51,No,Travel_Rarely,833,Research & Development,1,Bachelor,Life Sciences,1,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,No,11,3,2,80,0,1,0,2,1,0,0,0,Perks and awesome projectsexperience Great culture and the ability to work with a lot of smart people,20210421
318,32,No,Travel_Frequently,1311,Research & Development,7,Bachelor,Life Sciences,1,2,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1,No,20,4,3,80,0,5,3,1,5,1,0,3,its a wonderful place to work and the staff is amazing I have learned so much from working here and cant wait to presume my career in the software engineering field,20210529
319,38,No,Non-Travel,1327,Sales,2,College,Life Sciences,1,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,No,18,3,4,80,1,13,0,3,8,7,7,5,Growth opportunity at any level Friendly working atmosphere Lots of facilities for employees and no discrimination for contractors also Work flexibility Well optimized business processes and policies Diversified culture Moderate pay structure,20210514
320,32,No,Travel_Rarely,128,Research & Development,2,Others,Technical Degree,1,4,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,No,13,3,4,80,0,9,5,3,6,2,0,4,The job offers the rare opportunity to make big impact to life of millions of people I work with extremely smart people and everyone is excited to come to work everyday With all different kinds of project in Google I can alway find something that interests me,20210405
321,46,No,Travel_Rarely,488,Sales,2,Bachelor,Technical Degree,1,3,Female,75,1,4,Manager,2,Married,16872,14977,3,Yes,12,3,2,80,1,28,2,2,7,7,7,7,Free food is amazingGreat atmosphere people work together and help each other No strict rules on hours Many tech talks that you can attend freely to learn,20210312
322,29,No,Travel_Rarely,1210,Sales,2,Bachelor,Medical,1,1,Male,78,2,2,Sales Executive,2,Married,6644,3687,2,No,19,3,2,80,2,10,2,3,0,0,0,0,Environment that encourages everyone to stretch themselves with well aligned goals,20210512
323,31,No,Travel_Rarely,1463,Research & Development,23,Bachelor,Medical,1,2,Male,64,2,2,Healthcare Representative,4,Married,5582,14408,0,No,21,4,2,80,1,10,2,3,9,0,7,8,Attracts the smartest people benefits are as good as you read about,20210502
324,25,No,Non-Travel,675,Research & Development,5,College,Life Sciences,1,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,18384,1,No,12,3,4,80,2,6,2,3,6,3,1,5,The roles have been challenging dynamic interesting ambiguous and evolving The people that Ive gotten to work with are great for the most partsmart driven effectivetheyre what has kept me around for so long,20210428
325,45,No,Travel_Rarely,1385,Research & Development,20,College,Medical,1,3,Male,79,3,4,Healthcare Representative,4,Married,13496,7501,0,Yes,14,3,2,80,0,21,2,3,20,7,4,10,Enjoy coming to work every single day Do cool stuff that acutally matters Fun and smart Coworkers Google really invests in their employees,20210426
326,36,No,Travel_Rarely,1403,Research & Development,6,Bachelor,Life Sciences,1,4,Male,47,3,1,Laboratory Technician,4,Married,3210,20251,0,No,11,3,3,80,1,16,4,3,15,13,10,11,They treat employees very well Not just be feeding us but by giving us some degrees of freedom to work on what we want They pay a lot of attention to employee feedback and actually make changes based on what we say  The technology is amazing and the people here are as smart as they come More than likely the guy who wrote the book on it works here,20210527
327,55,No,Travel_Rarely,452,Research & Development,1,Bachelor,Medical,1,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Yes,14,3,3,80,0,37,2,3,36,10,4,13,amazing culture good company compatible work environment and work flexibility I have loved to work for my company so far It is a superb company,20210321
328,28,No,Travel_Rarely,1158,Research & Development,9,Bachelor,Medical,1,4,Male,94,3,1,Research Scientist,4,Married,2070,2613,1,No,23,4,4,80,1,5,3,2,5,2,0,4,Excellent benefits free food massages great campus and awesome team mates Great pay and work ethic The trips overseas are fun too,20210527
329,37,No,Travel_Rarely,228,Sales,6,Master,Medical,1,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4,No,14,3,2,80,1,7,5,4,5,4,0,1,Huge impact Great culture Smart people Mission driven company Cutting edge of innovation,20210525
330,21,No,Travel_Rarely,996,Research & Development,3,College,Medical,1,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,No,17,3,1,80,0,3,4,4,3,2,1,0,Just what you would expect exciting innovative and creative culture it is Google people Perks pay and people are a plus as well,20210527
331,37,No,Non-Travel,728,Research & Development,1,Master,Medical,1,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Yes,18,3,1,80,2,15,2,3,5,2,0,2,High salary Many perks Great breakfast and lunch Working with some very smart people Learning all the Google technology Free phone or tablet once a year If you worked on a cool product and post on social media you would probably have many followers Company encourages employees to move around within the company Free shuttle service to work,20210324
332,35,No,Travel_Rarely,1315,Research & Development,22,Bachelor,Life Sciences,1,2,Female,71,4,3,Manager,2,Divorced,11996,19100,7,No,18,3,2,80,1,10,6,2,7,7,6,2,The people at Google are phenomenal  the smartest and most capable people I have worked with And theyre friendly and easy to work with too  very few jerks  everybody there is generally trying to do the right thing Also once youre in its relatively easy to move around  I have had three different jobs within Google,20210302
333,38,No,Travel_Rarely,322,Sales,7,College,Medical,1,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Yes,24,4,3,80,1,8,3,3,8,0,7,7,The company sincerely works toward its mission to make the worlds information universally accessible and useful Its big enough that there is bound to be a job that you like if youre willing to put in the effort of searching it out People are generally friendly smart and fun to work with,20210527
334,26,No,Travel_Frequently,1479,Research & Development,1,Bachelor,Life Sciences,1,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,No,20,4,1,80,1,6,6,1,6,5,1,4,The culture and employees are as amazing as all the books say Every person I met was enthusiastic intellectual and supportive Google has done an amazing job to create a community of ranging diversity with similar goals Work hard and play hard is the common motto I loved that I could work from any global office if approved and or from home on occasion,20210506
335,50,No,Travel_Rarely,797,Research & Development,4,Others,Life Sciences,1,1,Male,96,3,5,Research Director,2,Divorced,19144,15815,3,No,14,3,1,80,2,28,4,2,10,4,1,6,Too many smart people are working around on great products free food great working environment makes this place heaven for workers,20210518
336,53,No,Travel_Rarely,1070,Research & Development,3,Master,Medical,1,3,Male,45,3,4,Research Director,3,Married,17584,21016,3,Yes,16,3,4,80,3,21,5,2,5,3,1,3,Google offers an environment that allows you to focus on your work They take care of your three meals if need be offer classes of all sorts provide you with the space to rest and etc Even if your work is demanding it is very easy to relax and take a break,20210511
337,42,No,Travel_Rarely,635,Sales,1,Others,Life Sciences,1,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,No,25,4,3,80,0,20,3,3,20,16,11,6,You work with some of the best and brightest in the world Whichever field youre in therell be at least one and probably several of the fields most renown luminaries working at Google The perks are amazing its a great environment to get things done,20210313
338,29,No,Travel_Frequently,442,Sales,2,College,Life Sciences,1,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,No,18,3,1,80,0,10,3,2,10,7,0,9,Casual but fastpaced work environment mobility concern for worklife balance,20210424
339,55,No,Travel_Rarely,147,Research & Development,20,College,Technical Degree,1,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,Yes,19,3,4,80,1,12,4,3,10,7,0,8,Best and brightest engineers Ive ever worked with very forgiving atmosphere easy to change teams if something interesting comes along lots of opportunity to visit offices in other cities and countries,20210512
340,26,No,Travel_Frequently,496,Research & Development,11,College,Medical,1,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,Yes,13,3,3,80,1,5,3,3,5,3,3,3,Insanely smart people everywhere not just engprod Looking for game changing ways to approach every problem The food and shuttles are great benefits You can end up working a lot but its generally because you want to not because you have to,20210529
341,37,No,Travel_Rarely,1372,Research & Development,1,Bachelor,Life Sciences,1,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,No,12,3,2,80,0,17,3,3,17,12,5,7,Managers that are invested in your growthprofessional development,20210416
342,38,No,Travel_Rarely,688,Research & Development,23,Master,Life Sciences,1,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,No,14,3,2,80,1,10,2,3,2,2,1,2,The best reason to work at Google is to experience the pinnacle of tech companies The culture there shows that they value their employees From the free lunches to recreational spaces in depth training and a beautiful campus it was a great experience during my time there working on a contract project,20210319
343,28,No,Travel_Rarely,1117,Research & Development,8,College,Life Sciences,1,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,No,21,4,4,80,0,5,3,3,5,3,0,2,people free food thought leadership impactful  world changing work great learning bed,20210409
344,49,No,Travel_Frequently,636,Research & Development,10,Master,Life Sciences,1,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Yes,11,3,4,80,0,22,4,3,3,2,1,2,Great and fun place to work Still startup atmosphere but stable and strong business foundation Happy to work with talented colleagues Good foods,20210326
345,36,No,Travel_Rarely,506,Research & Development,3,Bachelor,Technical Degree,1,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,No,12,3,4,80,0,10,2,3,8,0,7,7,Google is an awesome place to work with many great perks available to all employees,20210304
346,31,No,Travel_Frequently,444,Sales,5,Bachelor,Marketing,1,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,No,11,3,3,80,1,2,5,2,2,2,2,2,Awesome challenges great environment great benefits,20210515
347,37,No,Travel_Frequently,889,Research & Development,9,Bachelor,Medical,1,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Yes,12,3,3,80,3,4,3,2,4,2,1,2,An innovative company with many things to do You can get massages and many other things to keep an employ busy,20210429
348,42,No,Travel_Frequently,555,Sales,26,Bachelor,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,No,14,3,4,80,1,23,2,4,20,4,4,8,You get exposed to so many areas of technology and through the eyes of a company leading the charge to these spaces Always at the forefront of whats going on and whats changing the world,20210519
349,35,No,Travel_Rarely,1232,Sales,16,Bachelor,Marketing,1,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,No,15,3,3,80,2,12,3,2,11,9,6,9,business decisions are not transparently shared the 20 is a misnomer you dont really get that much time bias towards profit generating products,20210407
350,36,No,Travel_Frequently,566,Research & Development,18,Master,Life Sciences,1,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,No,18,3,4,80,2,4,2,3,1,0,0,0,The working environment is not very friendly there is an air of arrogance The recruiting and HR processes are especially slow and tedious,20210323
351,51,No,Travel_Rarely,1302,Research & Development,2,Bachelor,Medical,1,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,No,18,3,4,80,1,13,3,3,4,1,1,2,promotion limitations and long hours,20210522
352,41,No,Travel_Rarely,334,Sales,2,Master,Life Sciences,1,4,Male,88,3,4,Manager,2,Single,16015,15896,1,No,19,3,2,80,0,22,2,3,22,10,0,4,become middle age and some office politics,20210314
353,18,No,Travel_Rarely,812,Sales,10,Bachelor,Medical,1,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,No,12,3,1,80,0,0,2,3,0,0,0,0,Its not a small company anymore and its easy to feel more like a number than a name Because the change is so often and rapid you may find yourself working for someone who did not hire you which can be an issue,20210527
354,28,No,Travel_Rarely,1476,Research & Development,16,College,Medical,1,2,Male,68,4,2,Healthcare Representative,1,Single,5661,4824,0,No,19,3,3,80,0,9,2,3,8,3,0,7,Too much expectations Difficult to balance work and personal life Expectations too high instant delivery is expected,20210509
355,31,No,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,1,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,80,1,10,3,2,8,7,7,7,Committee decisions very large company Too much politics,20210404
356,39,No,Travel_Rarely,1132,Research & Development,1,Bachelor,Medical,1,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,No,17,3,1,80,3,19,5,2,18,10,3,7, Much of the work is not interesting  Midlevel executive leadership is questionable  Death march schedules and random priority changes becoming more common  No career path from engineer to having substantive influence over what gets worked on  Too many overqualified people forced into work thats beneath their abilities,20210520
357,36,No,Non-Travel,1105,Research & Development,24,Master,Life Sciences,1,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,80,1,11,3,3,9,8,0,8,the managers from my experience did not know how to manage they seemed like former engineers that were just given the title No leadership guidance or followup throughout my year there Also when it came time to convert me to full time management failed and forgot to submit my application Contractors overall seemed pretty unhappy even with all the awesome company perks,20210505
358,32,No,Travel_Rarely,906,Sales,7,Bachelor,Life Sciences,1,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,No,14,3,3,80,1,13,3,2,13,8,4,8,Career advancement and promotions are vague Job titles mean nothing  you can be doing something someone 2 levels higher is doing but you wont get paid the same,20210418
359,38,No,Travel_Rarely,849,Research & Development,25,College,Life Sciences,1,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,No,17,3,3,80,1,19,2,3,10,8,0,1,The management was too far removed from our group They really had no idea what we did or how And they never asked The would make power plays against each other that would adversely affect the day to day of the people working below them There was a very strong feeling of working for them Not With them,20210309
360,58,No,Non-Travel,390,Research & Development,1,Master,Life Sciences,1,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Yes,13,3,4,80,1,12,2,3,5,3,1,2,The downside is that youll need to take advantage of all that because youll be so busy with work My experience was that doing well at Google took over my life completely while I was there requiring me to work during the shuttle ride at work and during lunches on the shuttle ride home and most evenings and weekends ,20210323
361,31,No,Travel_Rarely,691,Research & Development,5,Master,Technical Degree,1,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Yes,12,3,3,80,1,6,4,3,5,2,0,3,Too few opportunities Engineers can be extremely weird here I would recommend against this job for another tech company Direction is vague and erratic,20210408
362,31,No,Travel_Rarely,106,Human Resources,2,Bachelor,Human Resources,1,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,No,12,3,4,80,0,9,1,3,2,2,1,0,The cons of working at Google are that if you are not an engineer there is not as much flexibility and creativity allowed,20210410
363,45,No,Travel_Frequently,1249,Research & Development,7,Bachelor,Life Sciences,1,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,No,18,3,1,80,1,24,2,3,24,9,9,11,Needs to be run more tightly and with more focus,20210411
364,31,No,Travel_Rarely,192,Research & Development,2,Master,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,80,1,3,2,1,2,2,2,2,Cant get anything done so much red tape As a Recruiter you are really just a paper shuffler and Hiring managers rule the roost so if they are incompetent then your hands are tied and there is no way to be successful Huge company politics are in play and it is difficult to figure out who to align yourself with If a process isnt working there is no way to effect any real change ,20210518
365,33,No,Travel_Frequently,553,Research & Development,5,Master,Life Sciences,1,4,Female,74,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,80,2,12,2,3,10,6,8,8,The working hours are long The pay is not worth all the time spent at work Management is not great,20210302
366,39,No,Travel_Rarely,117,Research & Development,10,Others,Medical,1,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Yes,14,3,4,80,0,21,3,3,21,9,11,10,Inexperienced middle managers who are where they are because they were strong individual contributors and not necessarily strong people managers Becoming more and more political Lack of autonomy in your job Decisions even the most inconsequential seem to be made by a few people in each department Few career advancement opportunities No worklife balance,20210330
367,43,No,Travel_Frequently,185,Research & Development,10,Master,Life Sciences,1,3,Female,33,3,1,Laboratory Technician,4,Single,2455,10675,0,No,19,3,1,80,0,9,5,3,8,7,1,7,Slow process from idea to launch too many hoops to run through Infrastructure not easily transferable outside of Google,20210418
368,49,No,Travel_Rarely,1091,Research & Development,1,College,Technical Degree,1,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,Yes,12,3,4,80,0,25,2,3,7,1,0,7,Company big on branding human resources w employees at the top of the hierarchy and then contractors  and finally temp workers Badges identify status with the company Contractors and temps restricted to only worksite buildingzone,20210515
369,27,No,Travel_Rarely,1220,Research & Development,5,Bachelor,Life Sciences,1,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Yes,12,3,2,80,0,4,2,2,4,3,1,2,It grows to 30000 employees by the end of 2011 and It starts to show similar problems as the previous big companies,20210527
370,32,No,Travel_Rarely,588,Sales,8,College,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Yes,11,3,4,80,0,13,2,3,13,12,11,9,Poor Career Growth Promotion review is dysfunctional,20210317
371,27,No,Travel_Rarely,1377,Sales,2,Bachelor,Life Sciences,1,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,Yes,11,3,1,80,0,5,3,3,5,4,0,4,A lot of concurrent initiatives but unsure of statusfollowthroughreasons for these initiatives A sense that we are overhiring Commitment to dogfooding is admirablebut sometimes its OK to use a nonGoogle application to manage some of our work There is a tendency to promote people who need more seasoning Managing people is not a perk of promotion and not everyone can be a manager,20210501
372,31,No,Travel_Rarely,691,Sales,7,Bachelor,Marketing,1,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,No,12,3,4,80,3,13,3,3,7,7,1,7,Work may be stressful Promotion opportunities may be limited You may start to feel strange highlyqualified competent and just one number among others Cramped cubicles Since about a year ago switching groups became much more difficult,20210416
373,32,No,Travel_Rarely,1018,Research & Development,2,Master,Medical,1,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,No,16,3,3,80,0,10,0,2,7,7,0,7, Increasing numbers of middle managers who add no value Focus on shiny vs substantive work  youre more rewarded for style than substance splashy work gets praise,20210427
374,30,No,Travel_Rarely,1275,Research & Development,28,College,Medical,1,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1,No,13,3,4,80,2,11,2,3,10,8,1,9,Since the environment is one in which everyone must participate it is difficult to pull back eg girfriend breakup,20210411
375,31,No,Travel_Frequently,798,Research & Development,7,College,Life Sciences,1,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,No,24,4,1,80,1,10,2,3,10,9,8,9,Can be hard to transfer to a new project which can lead to the need to excel at something you dont like in order to earn your way out of it  The opportunities for 20 time are real but you may not have enough time and energy to make use of them  Management is often handsoff and not necessarily helpfulencouraging Find peers to encourage and support you,20210528
376,39,No,Travel_Frequently,672,Research & Development,7,College,Medical,1,3,Male,54,2,5,Manager,4,Married,19272,21141,1,No,15,3,1,80,1,21,2,3,21,9,13,3,Having good management seems to be a nongoal at least below the highest levels The only requirements for becoming a manager are having good enough technical skills to reach the correct job level and expressing interest Because of this middle management is extremely hitormiss Employees are often expected to figure out how to grow on their own with little or no guidance even for those fresh out of school,20210514
377,33,No,Travel_Frequently,508,Sales,10,Bachelor,Marketing,1,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,No,14,3,3,80,0,9,6,2,7,7,0,1,getting very political a lot of nepotism Very negative vibe from employees regarding manager competency,20210329
378,47,No,Travel_Rarely,1482,Research & Development,5,Doctor,Life Sciences,1,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,No,11,3,2,80,1,21,2,3,3,2,1,1,tough seniors tough work lesser growth salary could be better,20210517
379,43,No,Travel_Frequently,559,Research & Development,10,Master,Life Sciences,1,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,No,11,3,2,80,1,9,3,4,9,7,0,0,High variance in manager competence including some managers whose only skill appears to have been being lucky enough to join preIPO From my experience  despite massive amounts of data in the form of Googlegeist employees reaching out to HR to express concerns and almost universal team dissatisfaction some really bad managers are simply not dealt with,20210313
380,27,No,Non-Travel,210,Sales,1,Others,Marketing,1,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Yes,13,3,4,80,1,6,0,3,5,4,1,4,Program Managers fresh out of grad school who pretend like they know the product better than you do will shoot down all your ideas or input regardless of your experience There is no clear direction or priorities set with specific projects,20210310
381,54,No,Travel_Frequently,928,Research & Development,20,Master,Life Sciences,1,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,No,12,3,4,80,0,20,4,2,4,3,0,3,Culture of secrecy The sense that everyones expendable No worklife balance or autonomy Immature andor inexperienced middle managers,20210528
382,43,No,Travel_Rarely,1001,Research & Development,7,Bachelor,Life Sciences,1,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,No,16,3,1,80,1,10,1,2,1,0,0,0,Shifted strategies a couple times May have been worthwhile to see how certain ones played out before shifting again,20210515
383,45,No,Travel_Rarely,549,Research & Development,8,Master,Other,1,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,No,14,3,1,80,2,12,3,3,10,9,9,8,Not use of ones talent not much work to do,20210310
384,40,No,Travel_Rarely,1124,Sales,1,College,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Yes,22,4,3,80,3,6,2,2,4,3,0,2,Great Perks Very cool company name recognition Pride in working for the good guys Work with the best and brightest,20210402
385,29,No,Travel_Rarely,738,Research & Development,9,Doctor,Other,1,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,No,17,3,3,80,0,4,2,3,3,2,2,2,Pros Work environment is so amazing Cons Pay is pretty low right niow,20210403
386,30,No,Travel_Rarely,570,Sales,5,Bachelor,Marketing,1,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,No,13,3,3,80,3,10,2,3,10,9,1,2,Free lunch every work day game rooms with pool  foosball  ping pong  console gaming kitchenettes with snack and beverages replenished twice per work day Cons The ratio of fulltime employees to contractors is 1100 for the Bothell office There is very little chance at promotion for an astonishing amount of work completed beyond whats required,20210412
387,27,No,Travel_Rarely,1130,Sales,8,Master,Marketing,1,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,No,18,3,1,80,1,8,3,3,8,7,0,7,big and slow too many silos very distributed very hard to tell what is going on closed NIH environment and technology inconsistent and political promotion process,20210403
388,37,No,Travel_Rarely,1192,Research & Development,5,College,Medical,1,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,No,16,3,3,80,2,8,2,2,6,2,0,4,Nothing that happens or has ever happened in software engineering is interesting relevant or good unless it happened at Google Prior experience in barbarian companies is considered irrelevant or harmful Groupthink and NIH syndrome lead to some daft decisions that are considered holy and irrevocable within the company,20210521
389,38,No,Travel_Rarely,343,Research & Development,15,College,Life Sciences,1,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Yes,14,3,2,80,1,12,3,3,11,10,2,9,Low pay Slow professional growth Large company with heavy bureaucratic tendencies,20210301
